,,,Утрау ГОД 2026,,,,Утрау ЯНВАРЬ,,,,Утрау ФЕВРАЛЬ,,,,2 месяца,,,Утрау МАРТ,,,,3 месяца,,,Утрау АПРЕЛЬ,,,,Утрау МАЙ,,,,Утрау ИЮНЬ,,,,Утрау ИЮЛЬ,,,,Утрау АВГУСТ,,,,Утрау СЕНТЯБРЬ,,,,Утрау ОКТЯБРЬ,,,,Утрау НОЯБРЬ,,,,Утрау ДЕКАБРЬ,,,
,,ПОЯСНЕНИЯ ,Факт год  2025,ПЛАН год 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026"
1.5.,Прочие доходы (развлечения),,264 200,2 495 000,390 000,944%,8 500,8 000,8 000,94%,1 500,18 000,0,1200%,26 000,8 000,-18 000,5 600,8 000,0,143%,34 000,8 000,,0,10 000,17 900,,0,125 000,376 250,,29 600,530 000,0,1791%,105 500,810 000,0,768%,74 500,690 000,0,926%,24 000,200 000,0,833%,5 000,30 000,0,600%,10 000,8 000,0,80%,0,58 000,0,
1.5.1.,Катер,,65 000,770 000,60 000,1185%,,,,,,0,0,,0,0,0,,,,,0,0,,,0,,,,50 000,60 000,,15 000,150 000,,1000%,25 000,300 000,,1200%,15 000,200 000,,1333%,10 000,70 000,,700%,,,,,,,,,,,,
1.5.2.,Яхта,,60 000,270 000,0,450%,,,,,0,0,0,,0,0,0,0,0,,,0,0,,0,0,,,0,,,,0,70 000,,,20 000,100 000,,500%,40 000,80 000,,200%,0,20 000,,,0,0,,,0,0,,,0,0,,
1.5.3.,Сап борды,,61 000,400 000,16 000,656%,,,,,0,,,,0,0,0,,,,,0,0,,,,,,,,16 000,,7 000,100 000,,1429%,34 500,150 000,,435%,19 500,150 000,,769%,,,,,,,,,,,,,,,,
1.5.4.,Гидроциклы,,0,90 000,241 500,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,241 500,,,30 000,,,,30 000,,,,30 000,,,,,,,,,,,,,,,,,,
1.5.5.,Падел,,62 600,730 000,64 500,1166%,,,,,,,,,0,0,0,,,,,0,0,,,,17 500,,,60 000,47 000,,7 600,150 000,,1974%,26 000,200 000,,769%,,200 000,,,14 000,100 000,,714%,5 000,20 000,,400%,10 000,,,0%,,,,
1.5.6.,Снегоходы,,4 000,48 000,8 000,1200%,4 000,8 000,8 000,200%,,10 000,,,18 000,8 000,-10 000,,0,,,18 000,8 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 000,,
1.5.7.,Аренда от вендинговых автоматовав,,,167 000,,,,,,,,8 000,,,8 000,0,-8 000,,8 000,,,16 000,0,,,10 000,400,,,15 000,11 750,,,30 000,,,,30 000,,,,30 000,,,,10 000,,,,10 000,,,,8 000,,,,8 000,,
1.5.8.,Прочее (прокат),,11 600,20 000,0,172%,4 500,,,0%,1 500,0,,0%,0,0,0,5 600,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 000,,
1.6.,"Прочие доходы (возврат от поставщиков, подотчет)",,1 933 369,0,40 795,0%,175 460,,40 127,0%,260 000,,668,0%,0,40 795,40 795,531 200,,,0%,0,40 795,,250 294,,,0%,7 471,,,0%,14 682,,,0%,960,,,0%,47 661,,,0%,156 748,,,0%,192 300,,,0%,4 171,,,0%,292 422,,,0%
