,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,графики,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,слайд №2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Загрузка номерного фонда  за 2025-2026 г.г.,,,,,Загрузка номерного фонда  за 2025-2026 г.г.,,,,,,,,,
Загрузка,%,"39,90%","41,80%","4,8%",Увеличение загрузки за счет снижения цены номера. Использовались различные акции для привлечения гостей в несезон,,,октябрь,"16,3","15,9","0,4",,"0,2","5,0","3,5","-8,3"
Номеро-ночи,ед.,990,980,"-1,0%",,,,ноябрь,"16,3","15,0","1,3",,"0,02",,,"1,3"
ADR,руб.,"12239,4","11549,8","-5,6%",,,,декабрь,21,"18,6","2,4",,,,,"2,4"
"Выручка, всего",млн руб.,"20,77","19,68","-5,2%",Снижение ADR привело к недополучению выручки.,,,Итого,"226,3","193,4","32,9","10,2","4,6","40,4","3,5","-5,4"
в т. ч.,,,,,,,,,,,,,,,,
проживание,млн руб.,"12,35","11,56","-6,4%",,,,,,,,,,,,
 F&B,млн руб.,"6,36","6,25","-1,7%",,,,,,,,,,,,
СПА,млн руб.,"2,03","1,82","-10,3%",,,,,,,,,,,,
прочее,млн руб.,"0,03","0,05","66,7%",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Затраты, всего",млн руб.,"27,77","26,74","-3,7%",,,,,,,,,,,,
в т. ч.,,,,,,,,,,,,,,,,
 ФОТ (зарплата+отчисления),млн руб.,"15,55","15,52","-0,2%",Оптимизация численности в несезон. Снижение зарплаты в феврале по сравнению с 4 кварталом 2025 г. на 8 %,,,,,,,,,,,
коммунальные платежи,млн руб.,"4,62","4,75","2,8%","Увеличились затраты на отопление, в связи с погодными условиями",,,,,,,,,,,
 продукты питания,млн руб.,"2,33","2,02","-13,3%",Заключение договоров с новыми поставщиками,,,,,,,,,,,
 фудкост,%,40,36,"-10,0%","Новое меню, соблюдение продуктовой матрицы",,,,,,,,,,,
Операционная прибыль/убыток,млн руб.,-7,"-7,06","0,9%",,,,,,,,,,,,
Возврат налога за предыдущий период,млн руб.,,"2,23",,,,,,,,,,,,,
Получение кредитов/займов,млн руб.,"7,5","7,17","-4,4%",От собственников,,,,,,,,,,,
Погашение  кредитов и процентов,млн руб.,"5,38","4,8","-10,8%",,,,,,,,,,,,
Общий  результат по БДР,млн руб.,"-4,88","-2,46","-49,6%",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Показатель,Ед. изм.,Январь 2025 год (факт),Январь 2026 год (план),Январь 2026 год (факт),Февраль 2025 год (факт),Февраль 2026 год (план),Февраль 2026 год (факт),,,,,,,,,
Загрузка,%,"33,4","42,30%","42,30%","33,60%","0,4","41,2",,,,,,,,,
Номеро-ночи,ед.,542,510,510,486,"4,8",470,,,,,,,,,
ADR,руб.,"157140,1","13464,7","13464,7","11659,7","10 937,5",9472,,,,,,,,,
"Выручка, всего",млн руб.,"15,31","11,77","11,81","9,94","9,0","7,9",,,,,,,,,
в т. ч.,,,,,,,,,,,,,,,,
проживание,млн руб.,"8,63","6,96","6,96","5,78","5,39","4,60",,,,,,,,,
 F&B,млн руб.,"4,72","3,77","3,77","2,58","2,59","2,48",,,,,,,,,
